year,iso_j,empG,empH,empL
1995,AUS,2215.275,2373.96,3699.585
1996,AUS,2222.875,2407.08,3724.595
1997,AUS,2235.7,2504.75,3736.525
1998,AUS,2213.875,2598.96,3828.78
1999,AUS,2302.975,2649.96,3880.605
2000,AUS,2292.726,2803.0819,3916.3545
2001,AUS,2294.8278,2827.814,4006.919
2002,AUS,2292.6359,2920.8611,4153.4058
2003,AUS,2309.9611,2989.6144,4219.2549
2004,AUS,2382.6146,3030.8359,4360.2949
2005,AUS,2412.8816,3204.7634,4411.2309
2006,AUS,2473.7817,3353.3126,4461.0268
2007,AUS,2518.9137,3431.9591,4607.5293
2008,AUS,2610.3737,3528.9035,4721.9355
2009,AUS,2561.89,3623.7353,4749.7954
2010,AUS,2589.9675,3786.9023,4766.4298
2011,AUS,2570.888,3908.109,4852.5552
1995,BRA,33276.572,11315.54,28953.11
1996,BRA,31673.51,11422.25,28889.885
1997,BRA,31871.845,11656.298,29600.093
1998,BRA,31054.144,11703.544,29987.173
1999,BRA,33028.389,12350.441,31262.178
2000,BRA,32670.438,13022.659,33279.25
2001,BRA,31847.866,13431.513,34265.035
2002,BRA,32861.274,13839.195,35928.598
2003,BRA,33307.146,14103.728,36624.107
2004,BRA,35571.355,14996.647,37684.471
2005,BRA,36802.967,15323.833,38778.873
2006,BRA,36247.695,16200.704,40798.564
2007,BRA,36215.662,17079.716,41418.531
2008,BRA,36840.468,17727.778,41664.363
2009,BRA,36215.161,18112.673,42319.305
2010,BRA,36832.739,19835.691,45222.139
2011,BRA,36054.882,21502.859,48275.413
1995,CHN,509028.05,27825.892,143796.06
1996,CHN,507414.37,29290.863,152794.76
1997,CHN,510847.13,29466.398,157886.48
1998,CHN,515006.76,29646.648,161716.59
1999,CHN,518807.13,30750.056,164382.81
2000,CHN,519407.56,30016.209,171426.24
2001,CHN,524773.64,30451.26,175025.1
2002,CHN,523275.91,30425.726,183698.37
2003,CHN,522828.52,31220.496,190270.99
2004,CHN,518250.85,32651.804,201097.34
2005,CHN,516830.28,33730.217,207689.5
2006,CHN,513996.11,34926.405,215077.49
2007,CHN,516784.22,35356.351,217759.43
2008,CHN,513720.86,36491.523,224587.62
2009,CHN,509904.37,37748.726,232296.9
2010,CHN,516444.14,39109.729,243793.66
2011,CHN,514439.26,40523.34,253602.17
1995,DEU,12953,9332,15316
1996,DEU,12501,9650,15347
1997,DEU,12213,9889,15361
1998,DEU,12137,10233,15541
1999,DEU,11978,10684,15762
2000,DEU,11942,11174,16028
2001,DEU,11768,11455,16093
2002,DEU,11403,11670,16023
2003,DEU,11051,11813,15862
2004,DEU,10854,12074,15952
2005,DEU,10637,12225,15973
2006,DEU,10550,12506,16019
2007,DEU,10684,12841,16199
2008,DEU,10603.651,13156.399,16690.308
2009,DEU,10301.985,13943.438,16604.344
2010,DEU,10022.135,14423.768,16679.27
2011,DEU,10414.452,14853.682,16718.501
1995,IND,295074.71,13961.74,71750.984
1996,IND,305346.12,14178.674,73976.047
1997,IND,307321.77,14568.617,76080.367
1998,IND,308913.68,14736.29,77896.906
1999,IND,303771.9,14977.788,79663.14
2000,IND,318051.41,16106.851,82725.001
2001,IND,329059.88,17319.303,85996.572
2002,IND,318732.9,18297.868,87175.022
2003,IND,335433.65,20031.249,93558.35
2004,IND,343119.54,21147.423,93632.661
2005,IND,353253.47,21621.299,94902.466
2006,IND,355193.86,22228.514,94345.579
2007,IND,342173.61,23171.202,94885.274
2008,IND,342321.71,24084.164,96972.797
2009,IND,341934.16,24945.462,98948.052
2010,IND,344615.52,28233.927,102237.51
2011,IND,344245.7,31362.498,104694.99
1995,JPN,25472.622,12779.689,28605.438
1996,JPN,25067.18,12977.014,28862.532
1997,JPN,24934.703,13358.168,29080.805
1998,JPN,23873.773,13638.31,29067.547
1999,JPN,23178.805,13651.978,28832.814
2000,JPN,22646.044,13935.656,28670.881
2001,JPN,21898.194,14276.946,28584.439
2002,JPN,20924.817,14468.2,28354.558
2003,JPN,20513.608,14636.727,28386.233
2004,JPN,20028.291,15067.764,28580.498
2005,JPN,19792.369,15598.862,28525.32
2006,JPN,19780.134,15899.231,28518.073
2007,JPN,19768.136,16075.171,28594.956
2008,JPN,18809.795,15776.216,28459.001
2009,JPN,16679.421,15021.395,26428.408
2010,JPN,16355.558,15061.636,26342.314
2011,JPN,16239.014,15320.349,26227.527
1995,MEX,15097.492,4550.4543,13479.923
1996,MEX,15813.33,4709.1067,13784.082
1997,MEX,16119.525,4900.0415,14169.739
1998,MEX,16717.151,5128.1622,14709.628
1999,MEX,17147.705,5362.0312,15459.657
2000,MEX,17469.17,5536.6405,16219.724
2001,MEX,17468.796,5741.4655,16893.119
2002,MEX,17501.118,5945.3624,17511.594
2003,MEX,17759.744,6045.2902,17850.885
2004,MEX,18110.854,6490.072,18431.531
2005,MEX,18292.594,6968.5878,18440.651
2006,MEX,18749.24,7280.2663,19239.171
2007,MEX,18719.588,7630.2607,19730.267
2008,MEX,20343.005,8266.831,21084.537
2009,MEX,19698.038,8553.444,20804.118
2010,MEX,20236.577,8716.9079,21152.461
2011,MEX,21010.853,8925.0443,21450.628
1995,RoW,188493.69,69019.782,131896
1996,RoW,185233.48,70421.963,135722.84
1997,RoW,181714.4,71527.212,141626.66
1998,RoW,179592.92,72827.909,143064.34
1999,RoW,181050.44,74225.09,148118.38
2000,RoW,182824.6,75221.778,150881.99
2001,RoW,181070.66,77414.643,153181.49
2002,RoW,179110.87,78587.723,155248.73
2003,RoW,179542.55,79812.476,156504.13
2004,RoW,177295.57,81010.232,161121.86
2005,RoW,178176.15,82705.121,163027.45
2006,RoW,176318.53,85830.641,168026.14
2007,RoW,178552.27,88284.186,173604.56
2008,RoW,178964.33,89902.305,177331.21
2009,RoW,173563.67,90041.15,177348.77
2010,RoW,175545.89,92217.032,180615.58
2011,RoW,176875.76,94468.798,183798.4
1995,USA,29036.55,36039.896,68902.874
1996,USA,29205.264,37068.152,69749.51
1997,USA,29635.131,38377.836,70534.865
1998,USA,30046.956,40007.119,71833.34
1999,USA,30078.558,41215.023,73240.833
2000,USA,30235.097,42539.159,74942.422
2001,USA,29540.584,42440.425,74836.82
2002,USA,28056.798,42280.771,75061.469
2003,USA,27285.489,42674.469,75229.078
2004,USA,27410.756,43609.012,75845.231
2005,USA,27450.301,44590.03,76863
2006,USA,27904.104,45770.917,77644.37
2007,USA,27487.514,46543.076,78536.558
2008,USA,26476.692,46615.999,78650.1
2009,USA,23435.882,45364.993,76543.954
2010,USA,22556.411,45495.299,76488.677
2011,USA,22755.301,46185.35,76607.834
